smiles,DockingScore
Nc1nc(NCc2ccncc2)nc2c1nc(n2Cc1ccccc1)O,-10.00254249572754
O=C(NC1CCOC1c1ccc(c(c1)F)F)NCC(C(C)C)O,-10.000627517700195
Oc1nc(Cc2ccccc2)nc2c1cccc2,-9.999735832214355
OC[C@H]1CCC[NH+]1Cc1nc2cc(sc2c(=O)[nH]1)c1c[nH]nc1C,-9.994233131408691
OCC1=C[C@@H](O)[C@H]([C@H](C1=O)Br)O,-9.9939603805542
COc1ccc(cc1NC(=O)NCCO)NC(=O)C,-9.993054389953612
OCc1cnc(c(c1O)O)C,-9.990811347961426
Oc1ccc(cc1)NC(=O)c1ccccc1,-9.985300064086914
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)Cn1cnc2c1ncnc2NC1CC2CC1CC2O,-9.984742164611816
O[C@@H]1C[NH+]2[C@@H]([C@@H]1O)[C@H](O)CCC2,-9.984085083007812
COc1c(OCC(C(O)(C)C)O)c(O)cc2c1oc(=O)cc2,-9.966178894042969
ONC(=O)c1ccncc1,-9.965499877929688
ONC(=O)c1ccc(cc1O)N,-9.963911056518556
SC[C@H]([C@H]1O[C@@H](C[C@H]([C@H]1O)O)C(=O)[O-])O,-9.961697578430176
COc1ccc(cc1)CC(C[NH+]1CCOCC1)O,-9.959047317504885
OC[C@H](C([C@@H](CO)O)O)O,-9.956652641296388
CCC[C@@H](/C=C/1\C[NH+]2CCC[C@H]2[C@@]([C@H]1O)(C)O)C,-9.955074310302734
O=C1C(O)Oc2c(N1O)cccc2,-9.93167495727539
Cc1cc(C)c2c(c1)c(O)c(cc2)Cc1ccccc1,-9.930046081542969
OC[C@H]1OC=C[C@H]([C@H]1O)O,-9.928441047668455
CCCCNc1nc(N)c2c(n1)n(Cc1ccc(cc1)O)c(n2)O,-9.927091598510742
O[C@@H]1C[C@H](O)[C@H](C[C@H]1O)O,-9.926488876342772
ONC(=O)CC(=O)NCc1ccccc1,-9.918344497680664
OCC(C(C(C(C1NN=C(S1)c1ccc(cc1)C)O)O)O)O,-9.912657737731934
NC[C@@H]1[NH2+][C@H]([C@H]([C@@H]1O)O)CO,-9.910340309143066
Oc1cc(O)cc(c1)C(=O)OCc1ccccc1O,-9.90959358215332
NC(=O)c1ccc(c(c1)O)O,-9.90795612335205
OC[C@@H]1O[C@H]([C@H]([C@H]1O)O)n1cnc(n1)C(=O)N,-9.90567684173584
Oc1nc(Cc2cccs2)nc2c1cccc2,-9.901201248168944
Oc1ccc2c(c1O)ccc1c2cc2ccccc2c1,-9.894376754760742
CCOC(=O)N1CC[NH+](CC1)CC(COc1ccccc1[N+](=O)[O-])O,-9.893367767333984
Oc1c(ccc2c1cccc2)Cc1ccc2c(c1)OCO2,-9.892271041870115
ONC(=O)CNc1ccc(cc1)Cl,-9.89057159423828
OCC1(CO)SC(=[NH+]C1=O)Nc1ccccc1Br,-9.883176803588867
BrC[C@H]([C@@H]([C@@H]([C@H](CBr)O)O)O)O,-9.87839698791504
CCC(c1ccccc1)C(=O)Nc1scc(n1)CC(=O)NO,-9.872875213623049
